Sample_ID,Prop_EcM_OTUs_unassigned,Prop_EcM_OTUs_assigned,Latitude,Longitude,Biome,Continent,Country,Year_of_sampling
GF01014591S,0.730769231,0.269230769,22.35164,103.78167,forest,Asia,Vietnam,2012
GF01014601S,0.679245283,0.320754717,36.804062,139.486456,forest,Asia,Japan,2011
GF01014721S,0.807692308,0.192307692,22.32166,103.78688,forest,Asia,Vietnam,2012
GF01018515S,0.666666667,0.333333333,35.027119,135.787185,forest,Asia,Japan,2011
GF01019009S,0.680851064,0.319148936,34.58333333,97.98333333,grassland,Asia,China,2011
GF01019076S,0.701754386,0.298245614,34.85,100.8166667,grassland,Asia,China,2011
GF01019409S,0.71641791,0.28358209,41.85,124.9,forest,Asia,China,2013
GF01019421S,0.657657658,0.342342342,41.85,124.9,forest,Asia,China,2013
GF02001225S,0.76119403,0.23880597,31.29,110.21,forest,Asia,China,2011
GF03006467S,0.712389381,0.287610619,18.71666667,108.8833333,forest,Asia,China,2014
GF03006468S,0.642105263,0.357894737,40.85,124.8333333,forest,Asia,China,2014
GF03006481S,0.66,0.34,31.31666667,110.4833333,forest,Asia,China,2014
GF03006488S,0.673366834,0.326633166,18.71666667,108.8833333,forest,Asia,China,2014
GF03006491S,0.735576923,0.264423077,18.75,108.9833333,forest,Asia,China,2014
GF03006496S,0.693641618,0.306358382,18.75,108.9833333,forest,Asia,China,2014
GF03006500S,0.619047619,0.380952381,42.18333333,128.15,forest,Asia,China,2014
GF03006509S,0.760638298,0.239361702,18.71666667,108.8333333,forest,Asia,China,2014
GF03006526S,0.688622754,0.311377246,18.7,108.7833333,forest,Asia,China,2014
GF03006531S,0.660377358,0.339622642,45.4,127.6617333,forest,Asia,China,2014
GF03006533S,0.75,0.25,18.73333333,108.85,forest,Asia,China,2014
GF03006550S,0.733333333,0.266666667,18.71666667,108.8333333,forest,Asia,China,2014
GF03006558S,0.70625,0.29375,23.16666667,112.5333333,forest,Asia,China,2014
GF03006579S,0.754285714,0.245714286,18.71666667,108.8833333,forest,Asia,China,2014
GF03006584S,0.733766234,0.266233766,42.58333333,125.0516167,forest,Asia,China,2014
GF03006588S,0.691919192,0.308080808,47.18333333,128.8980167,forest,Asia,China,2014
GF03006596S,0.586826347,0.413173653,45.4,127.6612833,forest,Asia,China,2014
GF03007285S,0.666666667,0.333333333,38.032124,128.463275,forest,Asia,South Korea,2018
GF03007289S,0.797752809,0.202247191,38.032124,128.463275,forest,Asia,South Korea,2018
GF03007319S,0.753623188,0.246376812,38.032124,128.463275,forest,Asia,South Korea,2018
GF03007324S,0.784313725,0.215686275,38.032124,128.463275,forest,Asia,South Korea,2018
GF03007330S,0.765625,0.234375,38.032124,128.463275,forest,Asia,South Korea,2018
GF03007349S,0.746478873,0.253521127,38.032124,128.463275,forest,Asia,South Korea,2018
GF04003037S,0.710280374,0.289719626,23.1666667,112.1666667,forest,Asia,China,2017
GF04003038S,0.75257732,0.24742268,23.1666667,112.1666667,forest,Asia,China,2016
GF04003039S,0.712765957,0.287234043,23.1666667,112.1666667,forest,Asia,China,2016
GF04003041S,0.732673267,0.267326733,23.1666667,112.1666667,forest,Asia,China,2016
GF04003042S,0.720430108,0.279569892,23.1666667,112.1666667,forest,Asia,China,2016
GF04003043S,0.708333333,0.291666667,23.1666667,112.1666667,forest,Asia,China,2016
GF04003045S,0.768421053,0.231578947,23.1666667,112.1666667,forest,Asia,China,2015
GF04003046S,0.702380952,0.297619048,23.1666667,112.1666667,forest,Asia,China,2016
GF04003047S,0.770833333,0.229166667,23.1666667,112.1666667,forest,Asia,China,2017
GF04003048S,0.707865169,0.292134831,23.1666667,112.1666667,forest,Asia,China,2016
GF04003049S,0.672727273,0.327272727,23.1666667,112.1666667,forest,Asia,China,2016
GF04003050S,0.75,0.25,23.1666667,112.1666667,forest,Asia,China,2017
GF04003052S,0.745614035,0.254385965,23.1666667,112.1666667,forest,Asia,China,2017
GF04003055S,0.774509804,0.225490196,23.1666667,112.1666667,forest,Asia,China,2015
GF04003056S,0.696629213,0.303370787,23.1666667,112.1666667,forest,Asia,China,2016
GF04003057S,0.777777778,0.222222222,23.1666667,112.1666667,forest,Asia,China,2017
GF04003058S,0.75862069,0.24137931,23.1666667,112.1666667,forest,Asia,China,2015
GF04003059S,0.759259259,0.240740741,23.1666667,112.1666667,forest,Asia,China,2016
GF04003060S,0.769230769,0.230769231,23.1666667,112.1666667,forest,Asia,China,2017
GF04003061S,0.769911504,0.230088496,23.1666667,112.1666667,forest,Asia,China,2017
GF04003063S,0.778846154,0.221153846,23.1666667,112.1666667,forest,Asia,China,2015
GF04003064S,0.666666667,0.333333333,23.1666667,112.1666667,forest,Asia,China,2016
GF04003065S,0.744897959,0.255102041,23.1666667,112.1666667,forest,Asia,China,2016
GF04003066S,0.756756757,0.243243243,23.1666667,112.1666667,forest,Asia,China,2015
GF04003068S,0.730769231,0.269230769,23.1666667,112.1666667,forest,Asia,China,2017
GF04003069S,0.790909091,0.209090909,23.1666667,112.1666667,forest,Asia,China,2015
GF04003070S,0.682352941,0.317647059,23.1666667,112.1666667,forest,Asia,China,2016
GF04003071S,0.731182796,0.268817204,23.1666667,112.1666667,forest,Asia,China,2016
GF04003072S,0.720930233,0.279069767,23.1666667,112.1666667,forest,Asia,China,2015
GF04003073S,0.740740741,0.259259259,23.1666667,112.1666667,forest,Asia,China,2017
GF04003074S,0.711538462,0.288461538,23.1666667,112.1666667,forest,Asia,China,2016
GF04003075S,0.752688172,0.247311828,23.1666667,112.1666667,forest,Asia,China,2015
GF04003076S,0.759615385,0.240384615,23.1666667,112.1666667,forest,Asia,China,2015
GF04003077S,0.765957447,0.234042553,23.1666667,112.1666667,forest,Asia,China,2017
GF04003078S,0.696202532,0.303797468,23.1666667,112.1666667,forest,Asia,China,2016
GF04003079S,0.764044944,0.235955056,23.1666667,112.1666667,forest,Asia,China,2015
GF04003080S,0.691358025,0.308641975,23.1666667,112.1666667,forest,Asia,China,2016
GF04003083S,0.688888889,0.311111111,23.1666667,112.1666667,forest,Asia,China,2016
GF04003084S,0.697674419,0.302325581,23.1666667,112.1666667,forest,Asia,China,2016
GF04008332S,0.807017544,0.192982456,35.91358,138.81928,forest,Asia,Japan,2014
GF04008343S,0.702702703,0.297297297,35.95716,138.81996,forest,Asia,Japan,2014
GF04008349S,0.672727273,0.327272727,35.95049,138.8249,forest,Asia,Japan,2014
GF04008367S,0.733333333,0.266666667,35.95783,138.81526,forest,Asia,Japan,2014
GF04008368S,0.706896552,0.293103448,35.93671,138.804,forest,Asia,Japan,2014
GF04008370S,0.666666667,0.333333333,35.9195,138.80341,forest,Asia,Japan,2014
GF04008382S,0.724637681,0.275362319,35.937,138.80453,forest,Asia,Japan,2014
GF04008385S,0.628571429,0.371428571,35.91949,138.83178,forest,Asia,Japan,2014
GF04008386S,0.607142857,0.392857143,35.91949,138.83178,forest,Asia,Japan,2014
GF04008390S,0.735632184,0.264367816,35.95783,138.81526,forest,Asia,Japan,2014
GF04008391S,0.76,0.24,35.91744,138.81882,forest,Asia,Japan,2014
GF04008404S,0.712121212,0.287878788,35.91694,138.81892,forest,Asia,Japan,2014
GF04008408S,0.619047619,0.380952381,35.9588,138.79818,forest,Asia,Japan,2014
GF04008409S,0.639344262,0.360655738,35.91998,138.80378,forest,Asia,Japan,2014
GF04008419S,0.816326531,0.183673469,35.91358,138.81928,forest,Asia,Japan,2014
GF04008425S,0.645833333,0.354166667,35.91998,138.80378,forest,Asia,Japan,2014
GF04008426S,0.64957265,0.35042735,35.91476,138.79742,forest,Asia,Japan,2014
GF04008429S,0.596153846,0.403846154,35.95876,138.79862,forest,Asia,Japan,2014
GF04008437S,0.777777778,0.222222222,35.93671,138.804,forest,Asia,Japan,2014
GF04008438S,0.586956522,0.413043478,35.95716,138.81996,forest,Asia,Japan,2014
GF04009014S,0.837837838,0.162162162,27.167,100.167,forest,Asia,China,2015
GF04009015S,0.798742138,0.201257862,24.53,101.02,forest,Asia,China,2014
GF04009017S,0.788,0.212,27.12,100.17,forest,Asia,China,2017
GF04009018S,0.783333333,0.216666667,24.53,101.02,forest,Asia,China,2017
GF04009020S,0.777777778,0.222222222,27.12,100.17,forest,Asia,China,2014
