"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Afroboletus vietnamensis","Afroboletus vietnamensis",NA,NA,0,0,"yes","Afroboletus vietnamensis",NA,"yes"
"Albatrellopsis confluens","Albatrellopsis confluens",NA,"yes",0,1,NA,"Albatrellopsis confluens",NA,NA
"Albatrellus confluens","Albatrellus confluens (Alb. & Schwein.) Kotl. & Pouzar","yes",NA,0,0,NA,"Albatrellus confluens, Boletus confluens, Polyporus confluens",NA,"yes"
"Albatrellus ovinus","Albatrellus ovinus (Schaeff.) Kotl. & Pouzar","yes",NA,0,0,NA,"Albatrellus ovinus, Boletus ovinus, Polyporus ovinus",NA,"yes"
"Albatrellus pes-caprae","Albatrellus pes-caprae (Pers.) Pouzar","yes",NA,0,0,NA,"Albatrellus pes-caprae, Polyporus pes-caprae",NA,NA
"Aleurina argentina","Aleurina argentina (Rifai) Korf & W.Y.Zhuang","yes","yes",2,4,"yes","Aleurina argentina, Jafneadelphus argentinus",NA,"yes"
"Aleurina asperula","Aleurina asperula (Rifai) Korf & W.Y.Zhuang","yes","yes",18,57,NA,"Aleurina asperula, Jafneadelphus asperulus, Peziza brunneoatra",NA,NA
"Aleurina calospora","Aleurina calospora (Rifai) Korf & W.Y.Zhuang","yes","yes",28,35,NA,"Aleurina calospora, Aleurina tasmanica, Jafneadelphus calosporus",NA,NA
"Aleurina ferruginea","Aleurina ferruginea",NA,"yes",832,90,NA,"Aleurina ferruginea",NA,NA
"Aleurina ochracea","Aleurina ochracea",NA,"yes",0,4,NA,"Aleurina ochracea",NA,NA
"Aleurina readeri","Aleurina readeri Rehm","yes",NA,0,0,NA,"Aleurina readeri",NA,NA
"Aleurina stipitata","Aleurina stipitata Rodway","yes",NA,0,0,NA,"Aleurina stipitata",NA,NA
"Alpova clelandii","Alpova clelandii (G.Cunn.) G.W.Beaton, Pegler & T.W.K.Young","yes",NA,0,0,NA,"Alpova clelandii, Rhizopogon clelandii",NA,NA
"Amanita albidannulata","Amanita albidannulata A.E.Wood","yes","yes",0,1,NA,"Amanita albidannulata",NA,NA
"Amanita albidoides","Amanita albidoides A.E.Wood","yes","yes",1,3,NA,"Amanita albidoides",NA,NA
"Amanita albifimbriata","Amanita albifimbriata O.K.Mill.","yes",NA,0,0,NA,"Amanita albifimbriata",NA,NA
"Amanita albofimbriata","Amanita albofimbriata",NA,"yes",0,19,NA,"Amanita albofimbriata",NA,NA
"Amanita albosquamosa","Amanita albosquamosa A.E.Wood","yes","yes",5,3,NA,"Amanita albosquamosa",NA,NA
"Amanita alboverrucosa","Amanita alboverrucosa A.E.Wood","yes","yes",0,2,NA,"Amanita alboverrucosa",NA,"yes"
