4T32J	79ZF	accepted	species	Riessiella cylindrica	Jülich
4T32H	79ZF	accepted	species	Riessiella clavata	Jülich
4T32C	63RYN	accepted	species	Riessia minima	Sacc. & D. Sacc.
4T32B	63RYN	accepted	species	Riessia fresenii	Schulzer
4T32G	63RYN	accepted	species	Riessia semiophora	Fresen.
4T32D	63RYN	accepted	species	Riessia naumovii	Kamyschko
4T32F	63RYN	accepted	species	Riessia radicicola	Jülich
YC47	62MJC	accepted	species	Corditubera romagnesii	Malençon
YC42	62MJC	accepted	species	Corditubera bovonei	(Mattir.) Demoulin & Dring
YC46	62MJC	accepted	species	Corditubera microspora	Höhn.
YC43	62MJC	accepted	species	Corditubera gallica	Malençon
YC48	62MJC	accepted	species	Corditubera staudtii	Henn.
YC44	62MJC	accepted	species	Corditubera kivuensis	Demoulin & Dring
3Y9Y9	BML4P	accepted	species	Marthanella nidulosa	States & Fogel
78734	63P4Z	accepted	species	Polypus dispansus	(Lloyd) Audet
746WB	5YNC	accepted	species	Neoalbatrellus caeruleoporus	(Peck) Audet
6RV9Z	5YNC	accepted	species	Neoalbatrellus subcaeruleoporus	Audet & B.S. Luther
6S6XZ	5YNC	accepted	species	Neoalbatrellus yasudae	(Lloyd) Audet
7478B	5YNC	accepted	species	Neoalbatrellus odorus	Yuan Y. Chen & B.K. Cui
3RV5V	62VNC	accepted	species	Laeticutis cristata	(Schaeff.) Audet
5CCJ4	894J	accepted	species	Xeroceps skamania	(Murrill) Audet
5CCJ5	894J	accepted	species	Xeroceps yunnanensis	(H.D. Zheng & P.G. Liu) Audet
4QHH2	75F5	accepted	species	Pulvinula albida	(Rick) Pfister
4QHHJ	75F5	accepted	species	Pulvinula miltina	(Berk.) Rifai
4QHHT	75F5	accepted	species	Pulvinula pyrophila	(Snyder) Donadini, G. Riousset & Riousset
4QHHK	75F5	accepted	species	Pulvinula minor	M.H. Liu
4QHH6	75F5	accepted	species	Pulvinula carbonaria	(Fuckel) Boud.
4QHHP	75F5	accepted	species	Pulvinula nepalensis	R. Kaushal
4QHHL	75F5	accepted	species	Pulvinula multiguttula	(L.R. Batra) S.C. Kaushal
4QHH7	75F5	accepted	species	Pulvinula cinnabarina	(Fuckel) Boud.
4QHHH	75F5	accepted	species	Pulvinula laeterubra	(Rehm) Pfister
4QHHC	75F5	accepted	species	Pulvinula globifera	(Berk. & M.A. Curtis) Le Gal
4QHH4	75F5	accepted	species	Pulvinula archeri	(Berk.) Rifai
4QHGZ	75F5	accepted	species	Pulvinula alba	(Velen.) Svrček
4QHH9	75F5	accepted	species	Pulvinula convexella	(P. Karst.) Pfister
4QHHB	75F5	accepted	species	Pulvinula etiolata	(Cooke) Le Gal
4QHHR	75F5	accepted	species	Pulvinula orichalcea	(Cooke) Rifai
78PDJ	75F5	accepted	species	Pulvinula discoidea	(Henn. & E. Nyman) L.R. Batra
4QHHG	75F5	accepted	species	Pulvinula lacteoalba	J. Moravec
4QHHN	75F5	accepted	species	Pulvinula neotropica	Pfister
4QHHX	75F5	accepted	species	Pulvinula tetraspora	(Hansf.) Rifai
78PDL	75F5	accepted	species	Pulvinula salmonicolor	(Seaver) Pfister
4QHHQ	75F5	accepted	species	Pulvinula niveoalba	J. Moravec
4QHHD	75F5	accepted	species	Pulvinula guizhouensis	M.H. Liu
