Abortiporus biennis
Acetabula murina
Acetabula simplex
Adelphella babingtonii
Afroboletus azureotinctus
Afroboletus costatisporus
Afroboletus elegans
Afroboletus lepidellus
Afroboletus luteolus
Afroboletus multijugus
Afroboletus pterosporus
Afroboletus sequestratus
Afroboletus vietnamensis
Afrocantharellus fistulosus
Afrocantharellus platyphyllus
Afrocantharellus splendens
Afrocantharellus symoensii
Afrocastellanoa ivoryana
Agaricus campestris
Agaricus circumtectus
Agaricus halophilus
Agaricus ignobilis
Agrocybe amara
Agrocybe amoena
Agrocybe arvalis
Agrocybe autumnalis
Agrocybe bokotensis
Agrocybe broadwayi
Agrocybe collybiiformis
Agrocybe cubensis
Agrocybe dennisii
Agrocybe earlei
Agrocybe edulis
Agrocybe elatella
Agrocybe fimicola
Agrocybe firma
Agrocybe flexuosipes
Agrocybe hesleri
Agrocybe holophlebia
Agrocybe hortensis
Agrocybe humosa
Agrocybe illicita
Agrocybe imaii
Agrocybe lenticeps
Agrocybe neocoprophila
Agrocybe olida
Agrocybe pascuensis
Agrocybe pediades
Agrocybe platysperma
Agrocybe praecox
Agrocybe pruinatipes
Agrocybe pusiola
Agrocybe putaminum
Agrocybe retigera
Agrocybe sacchari
Agrocybe sororia
Agrocybe subamara
Agrocybe subsiparioides
Agrocybe tabacina
Agrocybe underwoodii
Agrocybe vervacti
Agrocybe xuchilensis
Albatrellopsis confluens
Albatrellopsis ellisii
Albatrellopsis flettii
Albatrellopsis flettioides
Albatrellus alpinus
Albatrellus arizonicus
Albatrellus avellaneus
Albatrellus borneensis
Albatrellus cantharellus
Albatrellus citrinus
Albatrellus cochleariformis
Albatrellus congoensis
Albatrellus fumosus
Albatrellus ginnsii
Albatrellus henanensis
Albatrellus jiangenglingensis
Albatrellus microcarpus
Albatrellus ovinus
Albatrellus piceiphilus
Albatrellus pilosus
Albatrellus roseus
Albatrellus similis
Albatrellus subrubescens
Albatrellus tianschanicus
Albatrellus tibetanus
Albatrellus zhuangii
Albomagister subaustralis
Alessioporus ichnusanus
Alessioporus rubriflavus
Aleuria alpina
Aleuria ascophanoides
Aleuria aurantia
Aleuria cestrica
Aleuria crassiuscula
Aleuria gonnermannii
Aleuria ingrica
Aleuria isabellina
Aleuria luteonitens
Aleuria marchica
Aleuria membranacea
Aleuria nemorosa
Aleuria ollula
Aleuria phaeospora
Aleuria reperta
Aleuria saccardoi
Aleurina americana
Aleurina applanata
Aleurina aquehongensis
Aleurina argentina
Aleurina asperula
Aleurina atra
Aleurina calospora
Aleurina echinata
Aleurina ferruginea
Aleurina fuscocarpa
Aleurina imaii
Aleurina lignicola
Aleurina macrantha
Aleurina magnicellula
Aleurina nigrodisca
Aleurina novae-terrae
Aleurina ochracea
Aleurina olivacea
Aleurina olivaceofusca
Aleurina puiggarii
Aleurina splendens
Aleurina stipitata
Aleurina subapiculata
Aleurina substipitata
Aleurina subvirescens
Aleurina tahitensis
Aleurina tasmanica
Aleurina tenuiverrucosa
Aleurina vinacea
Aleurocystis magnispora
Aleurodiscus amorphus
Aleurodiscus aurantius
Aleurodiscus disciformis
Alloexidiopsis calcea
Alnicola badiofusca
Alnicola cholea
Alnicola citrinella
Alnicola dubis
Alnicola fusispora
Alnicola inculta
Alnicola longicystis
Alnicola mirabilis
Alnicola pallidifolia
Alnicola ramulosa
Alnicola salabertii
Alnicola spectabilis
Alnicola umbrina
Alnicola xanthophylla
Alpova alpestris
Alpova austroalnicola
Alpova cinnamomeus
Alpova concolor
Alpova corsicus
Alpova diplophloeus
Alpova klikae
Alpova komovianus
Alpova larskersii
Alpova luteus
Alpova microsporus
Alpova mollis
Alpova nauseosus
Alpova pseudostipitatus
Alpova trappei
Alpova yangchengensis
Alutaceodontia alutacea
Amanita abrupta
Amanita abruptiformis
Amanita advena
Amanita aestivalis
Amanita afrospinosa
Amanita agglutinata
Amanita ahmadii
Amanita alauda
Amanita albicarnosa
Amanita albida
Amanita albidannulata
Amanita albidoides
Amanita albidostipes
Amanita albocreata
Amanita albofimbriata
Amanita alboflavescens
Amanita albogrisescens
Amanita albolimbata
Amanita albopulverulenta
Amanita alboradicata
Amanita albosquamosa
Amanita alboumbelliformis
Amanita alboverrucosa
Amanita albovolvata
Amanita alexandri
Amanita aliena
Amanita alliacea
Amanita alliodora
Amanita allostraminea
Amanita alpinicola
Amanita alseides
Amanita altifissura
Amanita altipes
Amanita alutacea
Amanita amanitoides
Amanita ameghinoi
Amanita amerivirosa
Amanita aminoaliphatica
Amanita ananiceps
Amanita ananicipitoides
Amanita angustilamellata
Amanita angustispora
Amanita anisata
Amanita annulalbida
Amanita annulata
Amanita annulatovaginata
Amanita antillana
Amanita aporema
Amanita aprica
Amanita arctica
Amanita arenaria
Amanita arenarioides
Amanita arenicola
Amanita areolata
Amanita argentea
Amanita argenteoalba
Amanita arkansana
Amanita armeniaca
Amanita armillariiformis
Amanita arocheae
Amanita aspericeps
Amanita asperoides
Amanita asteropus
Amanita atkinsoniana
Amanita atrobrunnea
Amanita atrofusca
Amanita augusta
Amanita aurantiobrunnea
Amanita aurantiovelata
Amanita aurantisquamosa
Amanita aurea
Amanita aureomonile
Amanita aurora
Amanita australis
Amanita austrobulbosa
Amanita austro-olivacea
Amanita austrophalloides
Amanita austropulchella
Amanita austrostraminea
Amanita austroviridis
Amanita avellaneifolia
Amanita avellaneosquamosa
Amanita badia
Amanita ballerina
Amanita ballerinoides
Amanita bambra
Amanita basiana
Amanita basibulbosa
Amanita basii
Amanita basiorubra
Amanita battarrae
Amanita beckeri
Amanita beillei
Amanita bella
Amanita berkeleyi
Amanita bertaultii
Amanita betulae
Amanita bharatensis
Amanita bicolor
Amanita bingensis
Amanita biovigera
Amanita bisporigera
Amanita bivolvata
Amanita borneensis
Amanita boudieri
Amanita breckonii
Amanita bresadolana
Amanita brunneistriatula
Amanita brunneitoxicaria
Amanita brunneoconulus
Amanita brunneofolia
Amanita brunneofuliginea
Amanita brunneolimbata
Amanita brunneolocularis
Amanita brunneomaculata
Amanita brunneoprocera
Amanita brunneosquamata
Amanita brunneostrobilipes
Amanita brunneoumbonata
Amanita brunnescens
Amanita bulbulosa
Amanita bweyeyensis
Amanita caesarea
Amanita caesareoides
Amanita calabarica
Amanita calida
Amanita calochroa
Amanita calyptratoides
Amanita calyptroderma
Amanita campinaranae
Amanita canescens
Amanita caojizong
Amanita carneiphylla
Amanita castanea
Amanita castanopsidis
Amanita ceciliae
Amanita centunculus
Amanita changtuia
Amanita chatamagotake
Amanita cheelii
Amanita chepangiana
Amanita chevalleri
Amanita chiui
Amanita chlorinosma
Amanita chlorophylla
Amanita chocoana
Amanita chrysoblema
Amanita chrysoleuca
Amanita chuformis
Amanita cinctipes
Amanita cinerascens
Amanita cinereoannulosa
Amanita cinereocarpa
Amanita cinereopannosa
Amanita cinereoradicata
Amanita cinereovelata
Amanita cingulata
Amanita cinis
Amanita cinnamomea
Amanita circinata
Amanita circulata
Amanita cistetorum
Amanita citrina
Amanita citrinoannulata
Amanita citrinoindusiata
Amanita clarae
Amanita clarisquamosa
Amanita clelandii
Amanita coacta
Amanita codinae
Amanita cokeri
Amanita cokeriana
Amanita collariata
Amanita colombiana
Amanita compacta
Amanita conara
Amanita concentrica
Amanita congolensis
Amanita conicobulbosa
Amanita conicogrisea
