7637B	6G65	accepted	species	Paraphelaria amboinensis	(Lév.) Corner
6XN59	643Q9	accepted	species	Sarcopodium circinatum	Ehrenb.
57YVV	7YNH	accepted	species	Trechinothus smardae	(Pilát) E.C. Martini & Trichies
5CDLX	8978	accepted	species	Xerotus virgineus	Rick
48NZ6	66V2	accepted	species	Odonticium flavicans	(Bres.) Nakasone
52NRV	7NMT	accepted	species	Stilbella fimetaria	(Pers.) Lindau
52NT9	7NMT	accepted	species	Stilbella setiformis	(Vahl) Petch
5XFGF	CCY6G	accepted	species	Catinella olivacea	(Batsch) Boud.
6L5F9	635Y3	accepted	species	Guepinia helvelloides	(DC.) Fr.
68D6W	38DM	accepted	species	Basidiodendron farinaceum	(D.P. Rogers) P. Roberts
9YZ6M	38DM	accepted	species	Basidiodendron cinerellum	(Bourdot & Galzin) Spirin & Malysheva
68CV6	38DM	accepted	species	Basidiodendron rimosum	(H.S. Jacks. & G.W. Martin) Luck-Allen
5WCV8	38DM	accepted	species	Basidiodendron cremeum	(McNabb) K. Wells & Raitv.
68D82	38DM	accepted	species	Basidiodendron cinereum	(Bres.) Luck-Allen
68D82	38DM	accepted	species	Basidiodendron cinereum	(Bres.) Luck-Allen
68CV7	38DM	accepted	species	Basidiodendron nikau	(McNabb) Wojewoda
68CV8	38DM	accepted	species	Basidiodendron eyrei	(Wakef.) Luck-Allen
5WD6W	38DM	accepted	species	Basidiodendron deminutum	(Bourdot) Luck-Allen
5WCV5	38DM	accepted	species	Basidiodendron spinosum	(L.S. Olive) Wojewoda
5WCV6	38DM	accepted	species	Basidiodendron pini	(H.S. Jacks. & G.W. Martin) Luck-Allen
68D7Q	38DM	accepted	species	Basidiodendron caesiocinereum	(Höhn. & Litsch.) Luck-Allen
5WD77	38DM	accepted	species	Basidiodendron minutisporum	(McNabb) Wojewoda
7B2F2	645QT	accepted	species	Stypella subgelatinosa	(P. Karst.) P. Roberts
7B2F8	645QT	accepted	species	Stypella subhyalina	(A. Pearson) P. Roberts
7B2F8	645QT	accepted	species	Stypella subhyalina	(A. Pearson) P. Roberts
7B2G8	645QT	accepted	species	Stypella grilletii	(Boud.) P. Roberts
7B2G8	645QT	accepted	species	Stypella grilletii	(Boud.) P. Roberts
4N622	6XTK	accepted	species	Protomerulius dubius	(Bourdot & Galzin) Spirin & Malysheva
4N622	6XTK	accepted	species	Protomerulius dubius	(Bourdot & Galzin) Spirin & Malysheva
4N622	6XTK	accepted	species	Protomerulius dubius	(Bourdot & Galzin) Spirin & Malysheva
44Z7P	5W6H	accepted	species	Mycostilla vermiformis	(Berk. & Broome) Spirin & Malysheva
6VYQS	6XGW	accepted	species	Proterochaete adusta	(Burt) Spirin & Malysheva
3N7VC	636NM	accepted	species	Hydrophana sphaerospora	(Bourdot & Galzin) Malysheva & Spirin
SPQ6	3KWD	accepted	species	Ceratosebacina prolifera	(D.P. Rogers) P. Roberts
SPQ4	3KWD	accepted	species	Ceratosebacina calospora	(Bourdot & Galzin) P. Roberts
SPQ5	3KWD	accepted	species	Ceratosebacina longispora	(Hauerslev) P. Roberts
77YVB	6XPG	accepted	species	Protodontia fascicularis	(Alb. & Schwein.) Pilát ex Wojewoda
39S3D	4BNY	accepted	species	Endoperplexa subfarinacea	(Hauerslev) P. Roberts
6F9NM	4BNY	accepted	species	Endoperplexa obscura	(G.W. Martin) P. Roberts
39S39	4BNY	accepted	species	Endoperplexa enodulosa	(Hauerslev) P. Roberts
39S39	4BNY	accepted	species	Endoperplexa enodulosa	(Hauerslev) P. Roberts
4NYCM	642ZF	accepted	species	Pseudohydnum gelatinosum	(Scop.) P. Karst.
4NYCM	642ZF	accepted	species	Pseudohydnum gelatinosum	(Scop.) P. Karst.
37Z8S	48MK	accepted	species	Ductifera pululahuana	(Pat.) Donk
37Z8N	48MK	accepted	species	Ductifera megaspora	(G.W. Martin) K. Wells
3JW8L	6364B	accepted	species	Hauerslevia pulverulenta	(Hauerslev) P. Roberts
YC42	62MJC	accepted	species	Corditubera bovonei	(Mattir.) Demoulin & Dring
W5TS	62L9G	accepted	species	Climacocystis borealis	(Fr.) Kotl. & Pouzar
CHDC	T96	accepted	species	Amaropostia stiptica	(Pers.) B.K. Cui, L.L. Shen & Y.C. Dai
CHDC	T96	accepted	species	Amaropostia stiptica	(Pers.) B.K. Cui, L.L. Shen & Y.C. Dai
CHDC	T96	accepted	species	Amaropostia stiptica	(Pers.) B.K. Cui, L.L. Shen & Y.C. Dai
CHDC	T96	accepted	species	Amaropostia stiptica	(Pers.) B.K. Cui, L.L. Shen & Y.C. Dai
4J7BW	6QSH	accepted	species	Piptoporellus soloniensis	(Dubois) B.K. Cui, M.L. Han & Y.C. Dai
4SHN5	796R	accepted	species	Rhodonia placenta	(Fr.) Niemelä, K.H. Larss. & Schigel
4ZNR5	7M69	accepted	species	Stegiacantha petaloides	(Lloyd) Maas Geest.
3DR25	B2L7K	accepted	species	Fabisporus sanguineus	(L.) Zmitr.
3PP78	638MD	accepted	species	Inflatostereum glabrum	(Pat.) D.A. Reid
6MQ87	52NB	accepted	species	Hypochnicium bombycinum	(Sommerf.) J. Erikss.
3NTTW	52NB	accepted	species	Hypochnicium albostramineum	(Bres.) Hallenb.
6MPW2	52NB	accepted	species	Hypochnicium multiforme	(Berk. & Broome) Hjortstam
743X6	5W4Y	accepted	species	Mycoleptodonoides pergamenea	(Yasuda) Aoshima & H. Furuk.
44WVD	5W4Y	accepted	species	Mycoleptodonoides aitchisonii	(Berk.) Maas Geest.
44WVF	5W4Y	accepted	species	Mycoleptodonoides pusilla	(Brot.) K.A. Harrison
44WVF	5W4Y	accepted	species	Mycoleptodonoides pusilla	(Brot.) K.A. Harrison
5ZZQ6	3TX6	accepted	species	Coralloderma acroleucum	(Pat.) D.A. Reid
3DRJ6	634YR	accepted	species	Faerberia carbonaria	(Alb. & Schwein.) Pouzar
3DRJ6	634YR	accepted	species	Faerberia carbonaria	(Alb. & Schwein.) Pouzar
3DRJ6	634YR	accepted	species	Faerberia carbonaria	(Alb. & Schwein.) Pouzar
3DRJ6	634YR	accepted	species	Faerberia carbonaria	(Alb. & Schwein.) Pouzar
VW57	3QQX	accepted	species	Clavulicium delectabile	(H.S. Jacks.) Hjortstam
56858	7VJY	accepted	species	Thelephorella brasiliensis	P. Karst.
3G3GH	634FP	accepted	species	Ginnsia viticola	(Schwein.) Sheng H. Wu & Hallenb.
4X8PN	7GNR	accepted	species	Sidera lunata	(Romell ex Bourdot & Galzin) K.H. Larss.
6YMW7	7GNR	accepted	species	Sidera vulgaris	(Fr.) Miettinen
6YMW7	7GNR	accepted	species	Sidera vulgaris	(Fr.) Miettinen
587WT	7Z49	accepted	species	Trichaptum fuscoviolaceum	(Ehrenb.) Ryvarden
587WT	7Z49	accepted	species	Trichaptum fuscoviolaceum	(Ehrenb.) Ryvarden
587WT	7Z49	accepted	species	Trichaptum fuscoviolaceum	(Ehrenb.) Ryvarden
587WT	7Z49	accepted	species	Trichaptum fuscoviolaceum	(Ehrenb.) Ryvarden
587WT	7Z49	accepted	species	Trichaptum fuscoviolaceum	(Ehrenb.) Ryvarden
587WB	7Z49	accepted	species	Trichaptum abietinum	(Pers. ex J.F. Gmel.) Ryvarden
587WB	7Z49	accepted	species	Trichaptum abietinum	(Pers. ex J.F. Gmel.) Ryvarden
587WB	7Z49	accepted	species	Trichaptum abietinum	(Pers. ex J.F. Gmel.) Ryvarden
587WB	7Z49	accepted	species	Trichaptum abietinum	(Pers. ex J.F. Gmel.) Ryvarden
44Q7H	5VW3	accepted	species	Muscinupta laevis	(Fr.) Redhead, Lücking & Lawrey
44Q7H	5VW3	accepted	species	Muscinupta laevis	(Fr.) Redhead, Lücking & Lawrey
QMHP	62L62	accepted	species	Cantharellopsis prescotii	(Weinm.) Kuyper
3FYQF	4NBS	accepted	species	Giacomia mirabilis	(Bres.) Vizzini & Contu
6ZG3Z	7LQG	accepted	species	Squamanita umbonata	(Sumst.) Bas
